text,label
"Długo szukała m odpowiedniego fotelika dla bardzo wysokiej 2 latki : ) wcześniej użytkowała m fotelik 9 - 18kg, ten miał być większy producent podaje 9 - 36kg - niestety jest to trochę na wyrost, chociaż teoretycznie dziecko mieściło się w środkowym przedziale wagowym ( 16kg ) to fotelik miał być większy. Niestety producent, który zajmuje się tylko i wyłącznie sprzedażą fotelików, jest nastawiony na ""odkładanie"" produktu w czasie. Tak jak napisali wyżej, w tej cenie fotelik bardzo dobrze sprawdza się, bardzo się sprawdził, spełnia swoje zadanie.",Neutral
"Długo szukała m odpowiedniego fotelika dla bardzo wysokiej 2 latki : ) wcześniej użytkowała m fotelik 9 - 18kg, ten miał być większy producent podaje 9 - 36kg - niestety jest to trochę na wyrost, chociaż teoretycznie dziecko mieściło się w środkowym przedziale wagowym ( 16kg ) to fotelik miał być montowany od strony ""do góry"" - w przypadku fotelika 9-18 kg dziecko miało się znaleźć od strony ""do tyłu"" - fotelik miał mieć ""od wewnątrz"" ( od strony kierowcy ) to po prostu nie pasowało producent podaje 9 - 36kg - w praktyce jest odwrotnie : ) a dziecko jest za krótkie do montażu fotelika i",Neutral
"Kupił em pociąg ( w zestawie kilka torów prostych oraz zakrętów ) oraz zestaw torów, zwrotnic + skrzyżowanie. Ten zestaw jest kompletnie do niczego. Tory są niedopasowane do rozstawu kół lokomotywy. Kładąc lokomotywę idealnie na środku tora, koła są na krawędzi. Całe koła podczas jazdy pracują prawo / lewo przez co pociąg niemal cały czas jedną stroną kół jedzie w powietrzu ( poza torem ). No a najgorzej ze skrzyżowaniem i zwrotnicami. Skrzyżowanie jest za wąskie, pociąg nie jest w stanie go przejechać ( raz na 10 się zdarzy, że z rozpędu przejedzie ). Zwrotnice też ledwo pokonuje. Na prawdę zestaw nie nadaje się do zabawy, skoro pociąg nie jest kompatybilny z torami... Na YT można obejrzeć z czym mam problem. Wystarczy wpisać w wyszukiwanie blocki pociąg rozstaw. To moja trzecia próba z Jixin / Blocki / Mubi. Pierwszy zestaw ( 2 lata temu ) straży pożarnej był ok, do dziś służy. Potem zestaw budowniczego - rozleciał się od razu budowniczy... No a teraz ten pociąg. Nie polecam zdecydowanie tych podróbek L. D. - choć cena oczywiście zachęca.",Negative
"Kupił em pociąg ( w zestawie kilka torów prostych oraz zakrętów ) oraz zestaw torów, zwrotnic + skrzyżowanie. Ten zestaw jest kompletnie do niczego. Tory są niedopasowane do rozstawu kół lokomotywy. Kładąc lokomotywę idealnie na środku tora, koła są na krawędzi. Całe koła podczas jazdy pracują prawo / lewo przez co pociąg niemal cały czas jedną stroną kół jedzie w powietrzu ( poza torem ). No a najgorzej ze skrzyżowaniem i zwrotnicami. Skrzyżowanie jest za wąskie, pociąg nie jest w stanie go przejechać ( raz na 10 się udaje, nie wiem jak długo to trwa ). Gdy pociąg hamuje na zakręcie to koła jadą prosto do przodu, w drugą stronę też ale to chyba bardziej przez to, że się rozpędza. Co najlepsze to zwrotnica w tym układzie ( z kołami skierowanymi do góry) jest dość nisko nad podłogą i trzeba ją na nowo rozkręcać ( ja na dole). Ja się nawet nie mogę schylić żeby ją przesunąć ( co przy tym ustawieniu zwrotnice jest dość trudne ) bo pociąg jest za ciężki. Co myślicie o tym, żeby dać zwrotnicę na środku? Pytanie tylko czy to ma sens.",Negative
"Kupił em pociąg ( w zestawie kilka torów prostych oraz zakrętów ) oraz zestaw torów, zwrotnic + skrzyżowanie. Ten zestaw jest kompletnie do niczego. Tory są niedopasowane do rozstawu kół lokomotywy. Kładąc lokomotywę idealnie na środku tora, koła są na krawędzi. Całe koła podczas jazdy pracują prawo / lewo przez co pociąg niemal cały czas jedną stroną kół jedzie w powietrzu ( poza torem ). No a najgorzej ze skrzyżowaniem i zwrotnicami. Skrzyżowanie jest za wąskie, pociąg nie jest w stanie go przejechać ( raz na 10 się udaje). Do tego, jest bardzo blisko słupka z sygnalizatorem zmiany kierunku jazdy, więc jeżeli pociąg się na nim zatrzyma to będzie miał przejechanie i się nie zatrzyma. Jak go już złapie to pociąg jedzie prosto, bez żadnych gwałtownych manewrów. Jak już się zatrzyma to nie będzie mógł ruszyć. Pomyśleć, że maszynista jest na stacji. Jak on się czuje, że musi się tak denerwować, że nie może jechać? Przecież to jest absurd. Oczywiście, można by to było poprawić, ale wtedy pociąg byłby o wiele mniej zwrotny, a przy zwrotnicach nie było by znaku STOP. Dodatkowo jest jeszcze sprawa zwrotniczek.",Negative
"jestem pilarzem od parunastu lat, skusił em się na tego partnera w listopadzie 2016r. Łatwo się uruchamia i dobrze pracuje, lekka, poręczna, wygodna ale za mały otwór wlewu oleju i za małe objętości zbiornika paliwa i oleju - trzeba często uzupełniać je, filtr powietrza w zasadzie jednorazowy zapycha się po około tygodniu pracy ( około 3h dziennej pracy piły ) - koszt nowego 10zł, zaś po 3 miesiącach pękła linka gazu ( każde naciśnięcie manetki gazu łamie linkę - takie dziwne rozwiązanie konstrukcyjne ) - koszt nowej 40zł, jak dla mnie trochę za wysokie koszty utrzymania tej piły - jestem zawiedziony tym modelem partnera.",Negative
"jestem pilarzem od parunastu lat, skusił em się na tego partnera w listopadzie 2016r. Łatwo się uruchamia i dobrze pracuje, lekka, poręczna, wygodna ale za mały otwór wlewu oleju i za małe objętości zbiornika paliwa i oleju - trzeba często uzupełniać je, filtr powietrza w zasadzie jednorazowy zapycha się po kilku-kilkunastu sekundach. W ciągu roku wtryskiwacze są zużyte w ponad 90% i nie nadają się już do ponownego użycia. Zalecamy wymianę filtrów co 4-5 lat, filtry są w komplecie w zestawie.",Negative
"jestem pilarzem od parunastu lat, skusił em się na tego partnera w listopadzie 2016r. Łatwo się uruchamia i dobrze pracuje, lekka, poręczna, wygodna ale za mały otwór wlewu oleju i za małe objętości zbiornika paliwa i oleju - trzeba często uzupełniać je, filtr powietrza w zasadzie jednorazowy zapycha się po 5 latach, po 20 latach użytkowania, po 30 latach użytkowania, po 30 latach używania, po 70 latach użytkowania, po 70 latach użytkowania. Po 10 latach użytkowania, po 50 latach używania, po 70 latach używania.",Negative
"Uważam, że to najlepszy kitowy obiektyw na rynku. Wykonanie metal i bardzo dobrej jakości tworzywi. Pierścień przysłony chodzi z należytym oporem i skokiem. Wbudowana stabilizacja jest wydajna i naprawdę pomaga w wielu sytuacjach. Obiektyw bardzo ostry już od największego otworu przysłony. Celność bdb. To za co pochwalę go dodatkowo to szybki silnik autofokusa - używał em go na poczatku z dosyć mułowatym X - E1, teraz, kiedy przesiadł em się na X - T1 to mogę tylko chwalić ! ! ! Ostatni plus to bardzo dobrze opracowany system uszczelnień - obiektyw, mimo, iż jest to zoom, w ogóle nie zasysa kurzu do środka ( miałem już wiele zoomów : Nikkory, Sigmy i tam był to problem ). Polecam !",Positive
"Uważam, że to najlepszy kitowy obiektyw na rynku. Wykonanie metal i bardzo dobrej jakości tworzywi. Pierścień przysłony chodzi z należytym oporem i skokiem. Wbudowana stabilizacja jest wydajna i naprawdę pomaga w wielu sytuacjach. Obiektyw bardzo ostry już od największego otworu przysłony. Celność bdb. To za co pochwalę go dodatkowo to szybki . Wyświetlacz 4.5"" ma wbudowany autofocus.",Positive
"Uważam, że to najlepszy kitowy obiektyw na rynku. Wykonanie metal i bardzo dobrej jakości tworzywi. Pierścień przysłony chodzi z należytym oporem i skokiem. Wbudowana stabilizacja jest wydajna i naprawdę pomaga w wielu sytuacjach. Obiektyw bardzo ostry już od największego otworu przysłony. Celność bdb. To za co pochwalę go dodatkowo to szybki i stabilny montaż na statywie.",Positive
"krzesełko o ładnej kolorystyce, bardzo przydatna regulacja siedziska i oparcia, można je szybko wyczyścić bo jest pokryte specjalnym materiałem w który nie wnika woda ale oprócz tego same minusy, moje dziecko poci się w tym krzesełku straszliwie - właśnie ze względu na ten materiał, do tego krzesełko jest bardzo ciężkie a nie ma kółeczek z przodu co jeszcze bardziej uniemożliwia jego przesuwanie, zajmuje też sporo miejsca. Kosztuje sporo ale z tego co wiem na rynku są jeszcze droższe, osobiście już drugi raz by m go nie kupiła.",Neutral
"krzesełko o ładnej kolorystyce, bardzo przydatna regulacja siedziska i oparcia, można je szybko wyczyścić bo jest pokryte specjalnym materiałem w który nie wnika woda ale oprócz tego same minusy, moje dziecko poci się w tym krzesełku straszliwie - właśnie ze względu na to, że siedzisko jest mokre, nawet do około 1/3 wysokości, to dziecko nie potrafi sie wyprostować i nie potrafi się wyprostować do pozycji leżącej. Niestety po paru miesiącach użytkowania krzesełko przestało sie ruszać.",Neutral
"krzesełko o ładnej kolorystyce, bardzo przydatna regulacja siedziska i oparcia, można je szybko wyczyścić bo jest pokryte specjalnym materiałem w który nie wnika woda ale oprócz tego same minusy, moje dziecko poci się w tym krzesełku straszliwie - właśnie ze względu na swój kolor - szary matowy.",Neutral
"Kiedy na początku zobaczył em słuchawki zachwycał em się nimi. Dobry mikrofon, ładne opakowanie, przyjemny wygląd słuchawek. Ogólnie mówiąc NAJPIERW był em bardzo zadowolony. Gdzieś po 3 miesiącach problemy z mikrofonem się zaczęły raz działał raz nie, po 6 nie odpinał em go ponieważ wtedy już nie działał na długo i nie chciał em kusić losu licząc na kolejny cud, że jak podłącze to znowu zadziała. Po 3 / 4 roku siadła jedna strona zupełnie.... To już mnie kompletnie dobiło i zmienił em na akg 514 i co... ? Ogromna różnica w jakości a należało trochę dopłacić. I na nowych słuchawkach słychać znacznie lepiej w fps na jakim przeciwnik jest poziomie jak jest z tyłu na fatality nie mogł em rozróżnić. Dopóki się odwrócił em i sprawdził em zazwyczaj dead. Nie polecam na dłuższą metę na 3 miesiące mogą być w porządku ale na to zakup na krótko. Beznadziejne wykonanie, kabla mikrofona i ogólnie całych słuchawek.",Negative
"Kiedy na początku zobaczył em słuchawki zachwycał em się nimi. Dobry mikrofon, ładne opakowanie, przyjemny wygląd słuchawek. Ogólnie mówiąc NAJPIERW był em bardzo zadowolony. Gdzieś po 3 miesiącach problemy z mikrofonem się zaczęły raz działał raz nie, po 6 nie odpinał em go ponieważ wtedy już nie działał na długo i nie chciał em kusić losu licząc na kolejny cud, że jak podłącze to znowu zadziała. Po 3 / 4 roku siadła jedna strona zupełnie.... To już koniec. Nie polecam nikomu!",Negative
"Kiedy na początku zobaczył em słuchawki zachwycał em się nimi. Dobry mikrofon, ładne opakowanie, przyjemny wygląd słuchawek. Ogólnie mówiąc NAJPIERW był em bardzo zadowolony. Gdzieś po 3 miesiącach problemy z mikrofonem się zaczęły raz działał raz nie, po 6 nie odpinał em go ponieważ wtedy już nie działał na długo i nie chciał em kusić losu licząc na kolejny cud, że jak podłącze to znowu zadziała. Po 3 / 4 roku siadła jedna strona zupełnie.... To już nie były słuchawki douszne, a raczej dokanałowe... Aparat się wyłączał... Błądziłem po tym telefonie aż w końcu oddałem i wróciłem do swojego modelu... Po 3 miesiącach z tym mikrofonem miałem już dość tych słuchawek, oddałem je i kupiłem swoje.",Negative
"Dostał em to badziewie w prezencie od Orange. Do wyboru miałem pendrive, czytnik i jeszcze jakiś bubel, którego nazwy nie pamiętam, wybór padł jednak na słuchawki bo dawno żadnych nie miałem na uszach. Z zewnątrz nawet nieźle wyglądają i to chyba ich największa zaleta. Nie najlepiej wykonane, niewygodne, kabel za krótki, dźwięk może być. W środku widać już najzwyklejszy chiński chłam. Wszystko co mogło zostać wykonane z marnego plastiku, zostało z niego wykonane i połączone tanim klejem oby się jakoś trzymało. Cena oczywiście jest tu ważnym usprawiedliwieniem ale.. Żeby nie było zbyt pięknie, od początku lewy głośnik nie działał. Problem, który czasem występuje może być spowodowany tym, że cienki jak włos drut zwyczajnie się ukruszy. Jeśli pęknięcie jest tuż za punktem lutowania ( na zewnątrz ) można przylutować go ponownie, ale jak jest wewnątrz ( tak było w moim egzemplarzu ) to szkoda czasu. Produkt mogł em wysłać do producenta w ramach gwarancji, ale ze względu na jego niską wartość wysłał em go do kosza.",Negative
"Dostał em to badziewie w prezencie od Orange. Do wyboru miałem pendrive, czytnik i jeszcze jakiś bubel, którego nazwy nie pamiętam, wybór padł jednak na słuchawki bo dawno żadnych nie miałem na uszach. Z zewnątrz nawet nieźle wyglądają i to chyba ich największa zaleta. Nie najlepiej wykonane, niewygodne, kabel za krótki, dźwięk może być. W środku widać już najzwyklejszy chiński chłam. Wszystko co mogło zostać wykonane z marnego plastiku, zostało z niego wykonane i połączone tanim klejem oby się jakoś trzymał, ale nie wytrzymał próby czasu.",Negative
"Dostał em to badziewie w prezencie od Orange. Do wyboru miałem pendrive, czytnik i jeszcze jakiś bubel, którego nazwy nie pamiętam, wybór padł jednak na słuchawki bo dawno żadnych nie miałem na uszach. Z zewnątrz nawet nieźle wyglądają i to chyba ich największa zaleta. Nie najlepiej wykonane, niewygodne, kabel za krótki, dźwięk może być. W środku widać już najzwyklejszy chiński chłam. Wszystko co mogło zostać wykonane z marnego plastiku, zostało z niego wykonane i połączone tanim klejem oby się jakoś dało je złożyć. Nie wspomnę już o tym, że słuchawki po roku mają tylko 3 dni gwarancji na baterie. Jedyne co mogę powiedzieć o słuchawkach to to, że są to słuchawki, które są koszmarne. Słuchawki dokanałowe, których cena nie jest warta tej ceny.",Negative
"Jest to dobra i wytrzymała obudowa. Na plus przemawia niezłe odprowadzanie ciepła, wytrzymała konstrukcja, solidne wykonanie i atrakcyjny wygląd. Obudowa ma niestety również wady - jest niestabilna w przypadku niektórych starszych komputerów - przyczyną są dość duże wymagania prądowe jeśli chodzi o port USB. Drugą widoczną wadą jest fakt, że dysk po zamontowaniu nie jest sztywny ( można wyczuć wyraźne poruszanie się w obudowie przy drganiach ) co nie wpływa dobrze ani na wydajność ani na wytrzymałość dysku ( biorąc jednak pod uwagę że każdy dysk należy traktować delikatnie można tę wadę pominąć ). Mimo wszystko polecam tę obudowę.",Neutral
"Jest to dobra i wytrzymała obudowa. Na plus przemawia niezłe odprowadzanie ciepła, wytrzymała konstrukcja, solidne wykonanie i atrakcyjny wygląd. Obudowa ma niestety również wady - jest niestabilna w przypadku niektórych starszych komputerów - przyczyną są dość duże wymagania prądowe jeśli chodzi o port USB. Drugą wadą jest słaba ergonomia wykonania obudowy (niektóre modele są naprawdę ciężkie). Na szczęście ta obudowa szybko się nagrzewa - wystarczy że podamy kilka sekund, by temperatura podzespołu sięgała 40 stopni Celsjusza. Na plus za to jest to, że jest stosunkowo lekka, a jednocześnie wytrzymała.",Neutral
"Jest to dobra i wytrzymała obudowa. Na plus przemawia niezłe odprowadzanie ciepła, wytrzymała konstrukcja, solidne wykonanie i atrakcyjny wygląd. Obudowa ma niestety również wady - jest niestabilna w przypadku niektórych starszych komputerów - przyczyną są dość duże wymagania prądowe jeśli chodzi o port USB. Drugą wadą jest brak możliwości podłączenia zewnętrznego zasilacza. Można się nim podpiąć tylko do zasilacza w komputerze. Nie można go także podłączyć do zasilania zasilacza zewnętrznego np. laptopa. Nie jest to jednak wadą. Zasilacz jest dość stabilny, ma niskie napięcie (4200 V) i obsługuje karty sieciowe PCI Express.",Neutral
"Niestety lodówka nie jest pakowna. Kupiła m ja w miejsce identycznej pod względem pojemności lodówki Whirlpool. W Damsingu nie ma miejsca na duży 5 litrowy garnek, nie zmieści się nawet duży 2 l dzbanek z sokiem. Tylko 6 otworów na jajka, a wieczko które się otwiera żeby włożyć jajka - opada, nie zatrzymuje się w górze, nie ma opcji zatrzymania podniesionrgo do góry. Dozownik wody też porażka - zdarza sie ze kapie po calej lofowce na podłogę jesli nieumiejętnie przystawki się szklankę. Plus za cicha pracę i designe.",Negative
"Niestety lodówka nie jest pakowna. Kupiła m ja w miejsce identycznej pod względem pojemności lodówki Whirlpool. W Damsingu nie ma miejsca na duży 5 litrowy garnek, nie zmieści się nawet duży 2 l dzbanek z sokiem. Tylko 6 otworów na jajka, a wieczko które się zamyka na kluczyk i zamek w drzwiach jest dość długie i nie mieści się w drzwiach. Z reguły na początku po prostu wkładam łyżkę i zaglądam do środka. Potem się rozglądam, po prostu szukam. W Damsingu jest więcej miejsca, ale i tak trzeba pamiętać, że to lodowisko otwarte jest do południa.",Negative
"Niestety lodówka nie jest pakowna. Kupiła m ja w miejsce identycznej pod względem pojemności lodówki Whirlpool. W Damsingu nie ma miejsca na duży 5 litrowy garnek, nie zmieści się nawet duży 2 l dzbanek z sokiem. Tylko 6 otworów na jajka, a wieczko które się otwiera to tylko jedna mała dziurka. W Damsingu są lodówki na 5-6 litry, a te pod względem pojemności są 3 razy mniejsze. Lodówka Whirlpool jest tylko z nazwy większa i nie mieści się na półce.",Negative
"Bazyl, nasz dwuletni buldog francuski – jest ulubieńcem całej naszej rodzinki. Borykamy się jednak z alergią, dlatego szczególną uwagę zwracamy na karmę którą dla niego wybieramy. Testowali śmy już wiele różnych karm, od weterynaryjnych, po gotowane mięso, często z różnym skutkiem. Sporym problemem były także częste i niespodziewane gazy K",Neutral
"Bazyl, nasz dwuletni buldog francuski – jest ulubieńcem całej naszej rodzinki. Borykamy się jednak z alergią, dlatego szczególną uwagę zwracamy na karmę którą dla niego przygotowaliśmy.",Neutral
"Bazyl, nasz dwuletni buldog francuski – jest ulubieńcem całej naszej rodzinki. Borykamy się jednak z alergią, dlatego szczególną uwagę zwracamy na karmę którą dla niego kupujemy. Z tego powodu, że nasza rodzina jest bardzo wybredna, w przypadku buldogów francuskich zwracamy szczególną uwagę na to co zawierają.",Neutral
"* * * * * jakich mało za tę cenę to jakieś ewidentne żarty. Oddał em jedną kamerę na gwarancji bo nie nagrywała filmów akurat tych co mi byly potrzebne. 1 wyskoczyła mi sarna nie ma filmu, 2. wyskoczył mi lis nie ma filmu Wszystkie sytuacje obeszły się szczęśliwie ale gdyby coś poszło nie tak potrzebował by m filmu żeby chociaż udowodnić moją racje ubezpieczycielowi. Oddał em kamerę i ona zaginęła niby gdzies u producenta i przydzielono mi nową ( po 2 miesiącach w media expert ) I dziś znów sytuacja wyskakuje mi dzik na trasie przed maske hamuje na śliskim znow wszystko szczęśliwie. I co wracam do domu wrzucam karte do kompa i co widze ? widze ze pol dnia moja kamera nie nagrywała gdzie cały dzień była podłączona ! ! Jakies ku * wa zarty ! Za tę cenę spokojnie mozna kupic cos 1000 razy lepszego !",Negative
"* * * * * jakich mało za tę cenę to jakieś ewidentne żarty. Oddał em jedną kamerę na gwarancji bo nie nagrywała filmów akurat tych co mi byly potrzebne. 1 wyskoczyła mi sarna nie ma filmu, 2. wyskoczył mi lis nie ma filmu Wszystkie sytuacje obeszły się szczęśliwie ale gdyby coś poszło nie tak potrzebował by m filmu żeby chociaż udowodnić moją racje ubezpieczycielowi. Oddał em kamerę i ona zaginęła . W międzyczasie znalazłem inną kamerke i tam tez nie było problemu. Oddał em drugą kamerę ale tam tez nie było problemów.",Negative
"* * * * * jakich mało za tę cenę to jakieś ewidentne żarty. Oddał em jedną kamerę na gwarancji bo nie nagrywała filmów akurat tych co mi byly potrzebne. 1 wyskoczyła mi sarna nie ma filmu, 2. wyskoczył mi lis nie ma filmu Wszystkie sytuacje obeszły się szczęśliwie ale gdyby coś poszło nie tak potrzebował by m filmu żeby chociaż udowodnić moją racje ubezpieczycielowi. Oddał em kamerę i ona zaginęła . Oddałem kamerę i w międzyczasie zadzwonił właściciel i spytał czy nie potrzebuję czegoś do monitoringu bo nie działa. Powiedziałem mu że wszystko ok i nie mam kamery ale na nagraniu widać że jest ona w garażu. Zapytał się mnie czy nie wiem że jak się nie zgłosi to mogę sprzedać kamere i może ja odkupim. Powiedziałem że jak to on chce to mogę ale on musi za nią zapłacić i to niemało.",Negative
"Niestety w moich testach wypadł strasznie marnie. Prędkość zapisu dużego pojedynczego pliku na USB 2. 0 to 5MB / s i nie chce być szybciej. Obojętne czy NTFS czy FAT32. Kupił em 2 egzemplarze i na każdym taka żenada. Wstyd dla Patriota. Dane podane przez producenta są wyssane z palca ( rozumiem że to dane z USB 3. 0, ale na USB 2. 0 powinno być duuuużo lepiej ). Plus taki, że jak wieczorem pójdę do koleżanki zgrać 2 filmy w FullHD, muszę u niej zostać na śniadanie, żeby doczekać się końca kopiowania. Powinien em domagać się od producenta zwrotu pieniędzy.",Negative
"Niestety w moich testach wypadł strasznie marnie. Prędkość zapisu dużego pojedynczego pliku na USB 2. 0 to 5MB / s i nie chce być szybciej. Obojętne czy NTFS czy FAT32. Kupił em 2 egzemplarze i na każdym taka żenada. Wstyd dla Patriota. Dane podane przez producenta są wyssane z palca i nie pokrywają się z rzeczywistością. Sam fakt, że z powodu wad sprzętu nie można było go przetestować nie ma nic wspólnego z poprawą wydajności czy też poprawą jakości pracy, a jedynie z opóźnieniami.",Negative
Niestety w moich testach wypadł strasznie marnie. Prędkość zapisu dużego pojedynczego pliku na USB 2. 0 to 5MB / s i nie chce być szybciej. Obojętne czy NTFS czy FAT32. Kupił em 2 egzemplarze i na każdym taka żenada. Wstyd dla Patriota. Dane podane przez producenta są wyssane z palca.,Negative
"Miała m ten robot od pazdziernika 2013 do dzis. Po 3 reklamacji dostalam dzis pieniadze. Wszystko ok. No moze glosny przy pracy, ale spoko, da sie zniesc. Za to wszystko oparte na plastikowych czesciach. U mnie siadalo na sokowirowce. Poza tym po co mi sokowirowka, do ktorej trzeba wszyskto obrac i podzielic na czatki okol 5 cm ? Ale wracajac... przy 2 marchewce sokowirowka przestawala działac, bo sie wyrabial silniczek na plastiku. Naprawa 2 3 tyg. I znow to samo. Wymiana na nowa sokowirowke i znow to samo.za 3 razem probowali mi dac nowy robot. Wolalam gotowke, bo w koncu to nadal plastikwoe podzespoly. Szkoda... szukam czegos solidniejszego.",Negative
